product_id,product_name,description,price,discount_percentage,category,brand,stock_quantity,color,size,weight,dimensions,release_date,rating,reviews_count,seller_name,seller_rating,seller_reviews_count,shipping_method,shipping_cost
1,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed,Nullam varius.,672.88,33.76,toys,sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis,531,Puce,small,6.7,mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis,2019-02-22,2.3,921,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi,3.3,545,free,16.68
2,a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",386.88,24.62,clothing,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus,236,Red,extra large,6.3,sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam,2017-06-28,3.1,519,donec semper sapien a libero nam dui proin leo odio porttitor id consequat in,3.4,767,free,46.38
3,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",193.07,17.02,toys,est et tempus semper est quam pharetra magna ac consequat metus,370,Fuscia,large,7.7,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,2011-03-11,3.1,265,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna,2.0,104,standard,32.44
4,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum,Phasellus sit amet erat. Nulla tempus.,95.13,47.09,toys,ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus,410,Turquoise,large,6.2,nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est,2014-07-24,2.7,818,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes,2.9,934,free,43.17
5,at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.",320.5,21.63,toys,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus,700,Violet,large,7.2,magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi,2018-04-05,2.9,666,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar,4.3,805,free,22.12
6,convallis tortor risus dapibus augue vel accumsan tellus nisi eu,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.",679.93,13.81,electronics,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,211,Purple,medium,4.9,amet justo morbi ut odio cras mi pede malesuada in imperdiet,2017-05-28,3.4,282,vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante,2.5,971,free,39.37
7,duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,657.51,44.0,clothing,nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend,105,Red,extra large,9.9,et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante,2021-11-16,1.0,421,sit amet erat nulla tempus vivamus in felis eu sapien cursus,4.4,161,free,29.38
8,lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo,Nulla ut erat id mauris vulputate elementum.,43.3,2.76,toys,placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel,419,Aquamarine,extra large,8.4,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum,2022-08-28,4.9,90,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus,2.9,852,standard,48.41
9,massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",132.0,23.87,toys,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci,828,Violet,medium,7.5,congue etiam justo etiam pretium iaculis justo in hac habitasse platea,2020-07-06,3.9,448,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat,2.9,498,standard,40.37
10,nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,971.92,23.76,home decor,tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi,418,Indigo,medium,1.7,posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a,2010-03-15,3.1,256,lobortis sapien sapien non mi integer ac neque duis bibendum morbi,3.8,878,express,31.98
